Altium Designer Pick and Place Locations
D:\ESP 32\ESP32 with USBC\Project Outputs for ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC PCB V1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       29-08-24
Time:       20:22
Revision:   3a5e0fade4f780048de76a3d5296b8c0a4c084e5
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R27","10K","TopLayer","RESC1005X37N","1660.000","185.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2484.409","500.394","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_M","780.000","290.000","0","IC REG LINEAR 3.3V 1.5A SOT223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"T2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1115.000","808.000","0","TRANS NPN 25V 1.5A SOT23-3"
"T1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1114.577","661.000","0","TRANS NPN 25V 1.5A SOT23-3"
"SW2","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X37N","1966.992","453.000","0","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R23","0R","TopLayer","RESC1005X37N","1968.992","523.000","0","Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R22","10K","TopLayer","RESC1005X37N","1000.000","827.008","90","RES SMD 10K OHM 1% 1/16W 0402"
"R21","27R","TopLayer","RESC1005X37N","2104.000","783.000","0","RES SMD 27 OHM 0.1% 1/16W 0402"
"R20","27R","TopLayer","RESC1005X37N","2105.000","835.000","0","RES SMD 27 OHM 0.1% 1/16W 0402"
